Reference, Value, Footprint, Datasheet, Part URL
"C313","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C316","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C315","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C314","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C317","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C320","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C319","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C318","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C321","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C324","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C323","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C322","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C325","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"C328","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
